ID,SKU,Nome,Categoria,Serie,Descricao,Imagem_Principal,Imagens,URL_Detalhe
3055,H012,Base para Step,Acessórios de Treino,Acessórios - Série H,Base para Step - Código: H-012,https://commanderbrasil.com.br/wp-content/uploads/2025/12/H012-h-1.jpeg,https://commanderbrasil.com.br/wp-content/uploads/2025/12/H012-h-1.jpeg,https://commanderbrasil.com.br/catalogo/base-para-step-h012/
1009744,QHSJ182,Bastão de Avaliação Corporal,-,Acessórios - QHSJ Yoga,,https://commanderbrasil.com.br/wp-content/uploads/2025/12/QH-SJ182-bgbranco.webp,https://commanderbrasil.com.br/wp-content/uploads/2025/12/QH-SJ182-bgbranco.webp | https://commanderbrasil.com.br/wp-content/uploads/2025/12/QH-SJ182-ambientadas.webp,https://commanderbrasil.com.br/catalogo/body-assessment-stick-qhsj182/
1009748,QHSJ183,Bastão de Avaliação Corporal,-,Acessórios - QHSJ Yoga,,https://commanderbrasil.com.br/wp-content/uploads/2025/12/QHSJ183-bgbranco.webp,https://commanderbrasil.com.br/wp-content/uploads/2025/12/QHSJ183-bgbranco.webp | https://commanderbrasil.com.br/wp-content/uploads/2025/12/QHSJ183-ambientada.webp,https://commanderbrasil.com.br/catalogo/body-assessment-stick-qhsj183/
2664,C055,Bastão de Massagem,Acessórios de Treino,Acessórios - Série C,Bastão de Massagem - Código: C-055,https://commanderbrasil.com.br/wp-content/uploads/2025/12/C-055-c-2.jpeg,https://commanderbrasil.com.br/wp-content/uploads/2025/12/C-055-c-2.jpeg,https://commanderbrasil.com.br/catalogo/bastao-de-massagem-c055/
1009692,QHSJ168,Bastão de Massagem Profunda,-,Acessórios - QHSJ Yoga,,https://commanderbrasil.com.br/wp-content/uploads/2025/12/QH-SJ168-bgbranco.webp,https://commanderbrasil.com.br/wp-content/uploads/2025/12/QH-SJ168-bgbranco.webp | https://commanderbrasil.com.br/wp-content/uploads/2025/12/QH-SJ168-ambientadas.webp,https://commanderbrasil.com.br/catalogo/deep-tissue-massage-stick-qhsj168/
1009636,QHSJ146,Bastão de Massagem Sólido,-,Acessórios - QHSJ Yoga,,https://commanderbrasil.com.br/wp-content/uploads/2025/12/QHSJ146-bgbranco.webp,https://commanderbrasil.com.br/wp-content/uploads/2025/12/QHSJ146-bgbranco.webp | https://commanderbrasil.com.br/wp-content/uploads/2025/12/QHSJ146-ambientada.webp,https://commanderbrasil.com.br/catalogo/solid-massage-stick-qhsj146/
2805,D020,Bastão Felix (Baixa Resistência),Acessórios de Treino,Acessórios - Série D,Bastão Felix (Baixa Endurance) - Código: D-020,,,https://commanderbrasil.com.br/catalogo/bastao-felix-baixa-resistencia-d020/
2806,D021,Bastão Felix Removível (Alta Resistência),Acessórios de Treino,Acessórios - Série D,Bastão Felix Removível (Alta Endurance) - Código: D-021,https://commanderbrasil.com.br/wp-content/uploads/2025/12/D021-d-2.jpeg,https://commanderbrasil.com.br/wp-content/uploads/2025/12/D021-d-2.jpeg,https://commanderbrasil.com.br/catalogo/bastao-felix-removivel-alta-resistencia-d021/
1009392,QHSJ199,Bastão Flexível Baixa Intensidade,-,Acessórios - QHSJ Treino,,https://commanderbrasil.com.br/wp-content/uploads/2025/12/QH-SJ199-bgbranco.webp,https://commanderbrasil.com.br/wp-content/uploads/2025/12/QH-SJ199-bgbranco.webp | https://commanderbrasil.com.br/wp-content/uploads/2025/12/QH-SJ199-ambientadas.webp,https://commanderbrasil.com.br/catalogo/flexi-bar-low-intensity-qhsj199/
2670,C061,Bastão para Abertura das Costas,Acessórios de Treino,Acessórios - Série C,Bastão para Abertura das Costas - Código: C-061,https://commanderbrasil.com.br/wp-content/uploads/2025/12/C-061-c-2.jpeg,https://commanderbrasil.com.br/wp-content/uploads/2025/12/C-061-c-2.jpeg,https://commanderbrasil.com.br/catalogo/bastao-para-abertura-das-costas-c061/
2671,C062,Bastão Treino para Iniciantes,Acessórios de Treino,Acessórios - Série C,Bastão de Treinamento para Iniciantes - Código: C-062,https://commanderbrasil.com.br/wp-content/uploads/2025/12/C-062-c-2.jpeg,https://commanderbrasil.com.br/wp-content/uploads/2025/12/C-062-c-2.jpeg,https://commanderbrasil.com.br/catalogo/bastao-de-treinamento-para-iniciantes-c062/
2808,D023,Battle Corda 25mm x 12m,Acessórios de Treino,Acessórios - Série D,Battle Rope 25mm x 12m - Código: D-023,https://commanderbrasil.com.br/wp-content/uploads/2025/12/D023-d-2.jpeg,https://commanderbrasil.com.br/wp-content/uploads/2025/12/D023-d-2.jpeg,https://commanderbrasil.com.br/catalogo/corda-de-batalha5mm-x-12m-d023/
2807,D022,Battle Corda 25mm x 9m,Acessórios de Treino,Acessórios - Série D,Battle Rope 25mm x 9m - Código: D-022,https://commanderbrasil.com.br/wp-content/uploads/2025/12/D022-d-2.jpeg,https://commanderbrasil.com.br/wp-content/uploads/2025/12/D022-d-2.jpeg,https://commanderbrasil.com.br/catalogo/corda-de-batalha5mm-x-9m-d022/
