SKU,Nome,slug_nome,Categoria,slug_categoria,Serie,slug_serie,Descricao,Imagem
CBP115,Máquina Flexão Pernas Alternada,maquina-flexao-pernas-alternada,Flexora de Pernas,flexora-de-pernas,Equipamentos - Série CBP,equipamentos-serie-cbp,,https://commanderbrasil.com.br/wp-content/uploads/2025/12/CBP115-bgbranco-2.webp
CBP116,Máquina Flexão Pernas Deitada,maquina-flexao-pernas-deitada,Flexora de Pernas,flexora-de-pernas,Equipamentos - Série CBP,equipamentos-serie-cbp,,https://commanderbrasil.com.br/wp-content/uploads/2025/12/CBP116-bgbranco-2.webp
CBP117,Máquina Flexão Pernas Sentado,maquina-flexao-pernas-sentado,Flexora de Pernas,flexora-de-pernas,Equipamentos - Série CBP,equipamentos-serie-cbp,,https://commanderbrasil.com.br/wp-content/uploads/2025/12/CBP117-bgbranco-2.webp
CBP057,Máquina Flexora de Pernas,maquina-flexora-de-pernas,Flexora de Pernas,flexora-de-pernas,Equipamentos - Série CBP,equipamentos-serie-cbp,,https://commanderbrasil.com.br/wp-content/uploads/2025/12/CBP057-bgbranco-2.webp
SH96,Máquina Hack,maquina-hack,Outras Anilhadas,outras-anilhadas,Equipamentos - Série SH,equipamentos-serie-sh,,https://commanderbrasil.com.br/wp-content/uploads/2025/12/SH96-bgbranco-2.webp
CBP049,Máquina Hack De Panturrilha Elevação,maquina-hack-de-panturrilha-elevacao,Máquinas de Panturrilha,maquinas-de-panturrilha,Equipamentos - Série CBP,equipamentos-serie-cbp,,https://commanderbrasil.com.br/wp-content/uploads/2025/12/CBP049-bgbranco-2.webp
CBP097,Máquina Multiestação para Bíceps,maquina-multiestacao-para-biceps,Bíceps,biceps,Equipamentos - Série CBP,equipamentos-serie-cbp,,https://commanderbrasil.com.br/wp-content/uploads/2025/12/CBP097-bgbranco-2.webp
CBP109,Máquina para Panturrilha Elevação Super,maquina-para-panturrilha-elevacao-super,Máquinas de Panturrilha,maquinas-de-panturrilha,Equipamentos - Série CBP,equipamentos-serie-cbp,,https://commanderbrasil.com.br/wp-content/uploads/2025/12/CBP109-bgbranco-2.webp
SH36,Máquina Para Pegada / Antebraço,maquina-para-pegada-antebraco,Outras Anilhadas,outras-anilhadas,Equipamentos - Série SH,equipamentos-serie-sh,,https://commanderbrasil.com.br/wp-content/uploads/2025/12/SH36-bgbranco-2.webp
SH63,Máquina Para Pescoço 4 Direções,maquina-para-pescoco-4-direcoes,Outras Anilhadas,outras-anilhadas,Equipamentos - Série SH,equipamentos-serie-sh,,https://commanderbrasil.com.br/wp-content/uploads/2025/12/SH63-bgbranco-2.webp
SH41,Máquina Para Tíbia,maquina-para-tibia,Outras Anilhadas,outras-anilhadas,Equipamentos - Série SH,equipamentos-serie-sh,,https://commanderbrasil.com.br/wp-content/uploads/2025/12/SH41-bgbranco-2.webp
CBS052,Máquina Remada,maquina-remada,Remadas,remadas,Equipamentos - Série CBS,equipamentos-serie-cbs,,https://commanderbrasil.com.br/wp-content/uploads/2025/12/CBS052-bgbranco-2.webp
CBS058,Máquina Rosca Alternada,maquina-rosca-alternada,Bíceps,biceps,Equipamentos - Série CBS,equipamentos-serie-cbs,,https://commanderbrasil.com.br/wp-content/uploads/2025/12/CBS058-bgbranco-2.webp
CBP120,Máquina Sentada para Panturrilha Super,maquina-sentada-para-panturrilha-super,Máquinas de Panturrilha,maquinas-de-panturrilha,Equipamentos - Série CBP,equipamentos-serie-cbp,,https://commanderbrasil.com.br/wp-content/uploads/2025/12/CBP120-bgbranco-2.webp
GM74,Máquina Smith,maquina-smith,Máquinas Smith,maquinas-smith,Equipamentos - Série GM,equipamentos-serie-gm,,https://commanderbrasil.com.br/wp-content/uploads/2025/12/GM74-bgbranco-2.webp
GM80,Máquina Smith,maquina-smith,Máquinas Smith,maquinas-smith,Equipamentos - Série GM,equipamentos-serie-gm,,https://commanderbrasil.com.br/wp-content/uploads/2025/12/GM80-bgbranco-2.webp
CBP124,Máquina Smith,maquina-smith,Máquinas Smith,maquinas-smith,Equipamentos - Série CBP,equipamentos-serie-cbp,,https://commanderbrasil.com.br/wp-content/uploads/2025/12/CBP124-bgbranco-2.webp
LB638,Máquina Smith,maquina-smith,Máquinas Smith,maquinas-smith,Equipamentos - Série LB,equipamentos-serie-lb,,https://commanderbrasil.com.br/wp-content/uploads/2025/12/LB638-bgbranco-2.webp
GM92,Máquina Smith,maquina-smith,Máquinas Smith,maquinas-smith,Equipamentos - Série GM,equipamentos-serie-gm,,https://commanderbrasil.com.br/wp-content/uploads/2025/12/GM92-bgbranco-2.webp
SH09,Máquina Smith,maquina-smith,Outras Anilhadas,outras-anilhadas,Equipamentos - Série SH,equipamentos-serie-sh,,https://commanderbrasil.com.br/wp-content/uploads/2025/12/SH09-bgbranco-2.webp
CBP027,Máquina Smith de Força Sistema Duplo,maquina-smith-de-forca-sistema-duplo,Máquinas Smith,maquinas-smith,Equipamentos - Série CBP,equipamentos-serie-cbp,,https://commanderbrasil.com.br/wp-content/uploads/2025/12/CBP027-bgbranco-bgbranco-1.webp
CBP028,Máquina Smith de Força Sistema Duplo Superior,maquina-smith-de-forca-sistema-duplo-superior,Máquinas Smith,maquinas-smith,Equipamentos - Série CBP,equipamentos-serie-cbp,,https://commanderbrasil.com.br/wp-content/uploads/2025/12/CBP028-bgbranco-bgbranco-1.webp
CBP004,Máquina Smith Hp Base,maquina-smith-hp-base,Máquinas Smith,maquinas-smith,Equipamentos - Série CBP,equipamentos-serie-cbp,,https://commanderbrasil.com.br/wp-content/uploads/2025/12/CBP004-bgbranco-2.webp
CBP005,Máquina Smith Hp Completa,maquina-smith-hp-completa,Máquinas Smith,maquinas-smith,Equipamentos - Série CBP,equipamentos-serie-cbp,,https://commanderbrasil.com.br/wp-content/uploads/2025/12/CBP005-bgbranco-2.webp
CBP094,Máquina Tríceps,maquina-triceps,Tríceps,triceps,Equipamentos - Série CBP,equipamentos-serie-cbp,,https://commanderbrasil.com.br/wp-content/uploads/2025/12/CBP094-bgbranco-2.webp
